wavelength_nm,value
1867.79,0.2077
1873.23,0.2054
1878.67,0.2031
1884.11,0.2008
1889.55,0.1985
1894.99,0.1962
1900.43,0.1939
1905.87,0.1917
1911.31,0.1895
1916.75,0.1874
1922.19,0.1855
1927.63,0.1836
1933.07,0.1818
1938.51,0.1802
1943.95,0.1786
1949.39,0.1772
1954.83,0.1757
1960.28,0.1743
1965.72,0.1727
1971.16,0.1711
1976.6,0.1694
1982.04,0.1675
1987.48,0.1652
1992.92,0.163
1998.36,0.1487
2003.8,0.2354
2009.24,0.1796
2014.68,0.2216
2020.12,0.2324
2025.56,0.2196
2031.0,0.223
2036.44,0.213
2041.88,0.218
2047.32,0.2027
2052.76,0.2202
2058.2,0.2167
2063.65,0.2222
2069.09,0.2291
2074.53,0.2329
2079.97,0.2262
2085.41,0.23
2090.85,0.2317
2096.29,0.2249
2101.73,0.2311
2107.17,0.2268
2112.61,0.2312
2118.05,0.2323
2123.49,0.2356
2128.93,0.2408
2134.37,0.2364
2139.81,0.2414
2145.25,0.2331
2150.69,0.2431
2156.13,0.2396
2161.57,0.2397
2167.02,0.2463
2172.46,0.2399
2177.9,0.2325
2183.34,0.2382
2188.78,0.2408
2194.22,0.2322
2199.66,0.2469
2205.1,0.2488
2210.54,0.2427
2215.98,0.2479
2221.42,0.2414
2226.86,0.2427
2232.3,0.2403
2237.74,0.2391
2243.18,0.239
2248.62,0.2329
2254.06,0.229
2259.5,0.2261
2264.94,0.2221
2270.39,0.2262
2275.83,0.2243
2281.27,0.2168
2286.71,0.2155
2292.15,0.2143
2297.59,0.2245
2303.03,0.2229
2308.47,0.2098
2313.91,0.1885
2319.35,0.2108
2324.79,0.208
2330.23,0.1968
2335.67,0.1777
2341.11,0.1899
2346.55,0.1695
2351.99,0.198
2357.43,0.1948
2362.87,0.1682
2368.32,0.1736
2373.76,0.1739
2379.2,0.1663
2384.64,0.1853
2390.08,0.1838
2395.52,0.1707
2400.96,0.1529
2406.4,0.146
2411.84,0.1243
2417.28,0.2079
2422.72,0.1804
2428.16,0.1353
2433.6,0.1725
2439.04,0.13
2444.48,0.0677
2449.92,0.1809
2455.36,0.1664
2460.8,0.0889
2466.24,0.0917
2471.69,0.1038
2477.13,0.0614
2482.57,0.2446
2488.01,0.0272
2493.45,0.0
2498.89,0.0375
