wavelength_nm,value
1873.23,0.1414
1878.67,0.141
1884.11,0.1406
1889.55,0.1403
1894.99,0.1399
1900.43,0.1396
1905.87,0.1392
1911.31,0.139
1916.75,0.1387
1922.19,0.1386
1927.63,0.1386
1933.07,0.1386
1938.51,0.1388
1943.95,0.139
1949.39,0.1393
1954.83,0.1397
1960.28,0.14
1965.72,0.1403
1971.16,0.1406
1976.6,0.1407
1982.04,0.1408
1987.48,0.1405
1992.92,0.1403
1998.36,0.1277
2003.8,0.2335
2009.24,0.1533
2014.68,0.1902
2020.12,0.1862
2025.56,0.1688
2031.0,0.1623
2036.44,0.149
2041.88,0.1515
2047.32,0.1343
2052.76,0.1477
2058.2,0.1386
2063.65,0.1461
2069.09,0.1499
2074.53,0.155
2079.97,0.1471
2085.41,0.1459
2090.85,0.1396
2096.29,0.1346
2101.73,0.1299
2107.17,0.1189
2112.61,0.1055
2118.05,0.0936
2123.49,0.0774
2128.93,0.0705
2134.37,0.0682
2139.81,0.0699
2145.25,0.0733
2150.69,0.0699
2156.13,0.0678
2161.57,0.0773
2167.02,0.0946
2172.46,0.0952
2177.9,0.0885
2183.34,0.0868
2188.78,0.096
2194.22,0.1002
2199.66,0.1122
2205.1,0.1134
2210.54,0.1092
2215.98,0.1096
2221.42,0.1028
2226.86,0.0971
2232.3,0.0945
2237.74,0.0926
2243.18,0.0867
2248.62,0.08
2254.06,0.0737
2259.5,0.0629
2264.94,0.0637
2270.39,0.0644
2275.83,0.0647
2281.27,0.0618
2286.71,0.0625
2292.15,0.0554
2297.59,0.0566
2303.03,0.0554
2308.47,0.0569
2313.91,0.0479
2319.35,0.0609
2324.79,0.0569
2330.23,0.0573
2335.67,0.0545
2341.11,0.0596
2346.55,0.0534
2351.99,0.0701
2357.43,0.063
2362.87,0.0528
2368.32,0.0611
2373.76,0.0627
2379.2,0.0549
2384.64,0.0632
2390.08,0.0619
2395.52,0.0552
2400.96,0.0511
2406.4,0.0605
2411.84,0.0651
2417.28,0.089
2422.72,0.0638
2428.16,0.0565
2433.6,0.09
2439.04,0.0537
2444.48,0.0642
2449.92,0.114
2455.36,0.0784
2460.8,0.0553
2466.24,0.0596
2471.69,0.1006
2477.13,0.102
2482.57,0.4866
2488.01,0.7767
2493.45,1.4433
2498.89,0.4262
