wavelength_nm,value
1873.23,0.0253
1878.67,0.0243
1884.11,0.0233
1889.55,0.0223
1894.99,0.0214
1900.43,0.0205
1905.87,0.02
1911.31,0.0194
1916.75,0.0189
1922.19,0.0185
1927.63,0.0182
1933.07,0.0179
1938.51,0.0176
1943.95,0.0172
1949.39,0.0169
1954.83,0.0179
1960.28,0.0187
1965.72,0.0192
1971.16,0.0189
1976.6,0.0182
1982.04,0.0177
1987.48,0.0263
1992.92,0.035
1998.36,0.0338
2003.8,0.0218
2009.24,0.0267
2014.68,0.0399
2020.12,0.0495
2025.56,0.049
2031.0,0.0525
2036.44,0.0518
2041.88,0.0545
2047.32,0.0513
2052.76,0.0531
2058.2,0.0554
2063.65,0.054
2069.09,0.0555
2074.53,0.0621
2079.97,0.0631
2085.41,0.0663
2090.85,0.067
2096.29,0.0671
2101.73,0.0681
2107.17,0.0712
2112.61,0.0708
2118.05,0.0701
2123.49,0.0733
2128.93,0.0745
2134.37,0.0778
2139.81,0.0773
2145.25,0.0744
2150.69,0.0776
2156.13,0.0793
2161.57,0.0825
2167.02,0.0803
2172.46,0.0802
2177.9,0.0825
2183.34,0.0793
2188.78,0.0867
2194.22,0.0838
2199.66,0.0861
2205.1,0.0912
2210.54,0.0852
2215.98,0.0883
2221.42,0.0872
2226.86,0.0872
2232.3,0.0863
2237.74,0.0813
2243.18,0.0809
2248.62,0.0816
2254.06,0.0788
2259.5,0.0721
2264.94,0.0679
2270.39,0.0702
2275.83,0.0664
2281.27,0.0657
2286.71,0.0614
2292.15,0.0621
2297.59,0.0633
2303.03,0.0621
2308.47,0.0607
2313.91,0.0577
2319.35,0.0515
2324.79,0.0614
2330.23,0.0468
2335.67,0.0434
2341.11,0.0461
2346.55,0.0473
2351.99,0.045
2357.43,0.0506
2362.87,0.0413
2368.32,0.0432
2373.76,0.0322
2379.2,0.0279
2384.64,0.034
2390.08,0.0373
2395.52,0.0389
2400.96,0.027
2406.4,0.0198
2411.84,0.0095
2417.28,0.0235
2422.72,0.0387
2428.16,0.0305
2433.6,0.0025
2439.04,0.0153
2444.48,0.0402
2449.92,0.0094
2455.36,0.0097
2460.8,0.0262
2466.24,0.0508
2471.69,0.0838
2477.13,0.0724
2482.57,0.2772
2488.01,0.4257
2493.45,0.7604
2498.89,0.2262
